,channelGrouping,date,device_browser,device_deviceCategory,device_isMobile,device_operatingSystem,fullVisitorId,geoNetwork_city,geoNetwork_continent,geoNetwork_country,geoNetwork_metro,geoNetwork_networkDomain,geoNetwork_region,geoNetwork_subContinent,sessionId,totals_bounces,totals_hits,totals_newVisits,totals_pageviews,totals_transactionRevenue,trafficSource_adContent,trafficSource_campaignCode,trafficSource_isTrueDirect,trafficSource_keyword,trafficSource_medium,trafficSource_referralPath,trafficSource_source,tsadclick_adNetworkType,tsadclick_gclId,tsadclick_isVideoAd,tsadclick_page,tsadclick_slot,visitId,visitNumber,visitStartTime
3391,Referral,20170126,Chrome,desktop,FALSE,Macintosh,7.00E+17,Ann Arbor,Americas,United States,Detroit MI,,Michigan,Northern America,700225401855286769_1485443740,,34,1,28,179160000,,,,,referral,/,mall.googleplex.com,,,,,,1485443740,1,1485443740
3393,Referral,20170126,Chrome,desktop,FALSE,Macintosh,4.31E+18,Mountain View,Americas,United States,San Francisco-Oakland-San Jose CA,comcast.net,California,Northern America,4305270415377533885_1485499587,,35,,26,80760000,,,TRUE,,referral,/,mall.googleplex.com,,,,,,1485499587,6,1485499587
3394,Referral,20170126,Chrome,desktop,FALSE,Macintosh,1.63E+18,,Americas,United States,,,,Northern America,1627208831212925916_1485477973,,36,1,29,30390000,,,,,referral,/,mall.googleplex.com,,,,,,1485477973,1,1485477973
3396,Referral,20170126,Chrome,desktop,FALSE,Chrome OS,6.09E+17,,Americas,United States,,cox.net,,Northern America,0608915197735218105_1485467658,,37,,31,259370000,,,TRUE,,referral,/,mall.googleplex.com,,,,,,1485467658,6,1485467658
3397,Direct,20170126,Chrome,desktop,FALSE,Chrome OS,2.40E+18,Chicago,Americas,United States,Chicago IL,,Illinois,Northern America,2402527199731150932_1485453756,,37,,31,106260000,,,TRUE,,(none),,(direct),,,,,,1485453756,9,1485453756
3398,Referral,20170126,Chrome,desktop,FALSE,Linux,3.97E+18,,Americas,United States,,,,Northern America,3972031438204538458_1485457608,,37,1,27,38350000,,,,,referral,/,mall.googleplex.com,,,,,,1485457608,1,1485457608
3403,Referral,20170126,Chrome,desktop,FALSE,Macintosh,2.55E+18,New York,Americas,United States,New York NY,,New York,Northern America,2553957087129235590_1485445175,,42,,35,53560000,,,TRUE,,referral,/,mall.googleplex.com,,,,,,1485445175,2,1485445175
3405,Referral,20170126,Chrome,desktop,FALSE,Macintosh,4.63E+17,,Americas,United States,,,,Northern America,0463325773564352787_1485475748,,43,,33,191170000,,,TRUE,,referral,/,mall.googleplex.com,,,,,,1485475748,4,1485475748
3406,Organic Search,20170126,Chrome,desktop,FALSE,Macintosh,4.99E+18,New York,Americas,United States,New York NY,rcn.com,New York,Northern America,4985703629807810187_1485474927,,46,1,37,31980000,,,,,organic,,google,,,,,,1485474927,1,1485474927
3409,Referral,20170126,Chrome,desktop,FALSE,Macintosh,7.49E+18,San Francisco,Americas,United States,San Francisco-Oakland-San Jose CA,,California,Northern America,7488710348710523001_1485480993,,57,,43,64700000,,,TRUE,,referral,/,mall.googleplex.com,,,,,,1485480993,3,1485480993
3410,Referral,20170126,Chrome,desktop,FALSE,Macintosh,4.06E+17,San Francisco,Americas,United States,San Francisco-Oakland-San Jose CA,,California,Northern America,406001208091891832_1485469662,,57,1,45,96770000,,,,,referral,/,mall.googleplex.com,,,,,,1485469662,1,1485469662
3412,Direct,20170126,Chrome,desktop,FALSE,Windows,1.76E+18,Chicago,Americas,United States,Chicago IL,,Illinois,Northern America,1759779356678951325_1485467514,,63,,48,264790000,,,TRUE,,(none),,(direct),,,,,,1485467514,17,1485467514
3416,Referral,20170126,Chrome,desktop,FALSE,Macintosh,7.91E+17,San Jose,Americas,United States,San Francisco-Oakland-San Jose CA,comcastbusiness.net,California,Northern America,791462951878788065_1485465620,,91,1,69,105120000,,,,,referral,/,mall.googleplex.com,,,,,,1485465620,1,1485465620
3418,Referral,20170126,Chrome,desktop,FALSE,Macintosh,7.64E+18,New York,Americas,United States,New York NY,unknown.unknown,New York,Northern America,7638336411447332495_1485447665,,161,,112,1077000000,,,TRUE,,referral,/,mall.googleplex.com,,,,,,1485447665,7,1485447665
6584,Referral,20170623,Chrome,desktop,FALSE,Macintosh,7.51E+17,Washington,Americas,United States,Washington DC (Hagerstown MD),,District of Columbia,Northern America,0750845334721949296_1498226004,,10,1,10,298760000,,,,,referral,/,mall.googleplex.com,,,,,,1498226004,1,1498226004
6610,Referral,20170623,Chrome,desktop,FALSE,Chrome OS,7.27E+18,New York,Americas,United States,New York NY,,New York,Northern America,7265361594035996306_1498230705,,11,,11,27180000,,,TRUE,,referral,/,mall.googleplex.com,,,,,,1498230705,7,1498230705
6637,Organic Search,20170623,Chrome,desktop,FALSE,Macintosh,9.87E+17,Seattle,Americas,United States,Seattle-Tacoma WA,spectrumnet.us,Washington,Northern America,987390821892515431_1498241858,,12,,11,25000000,,,TRUE,,organic,,google,,,,,,1498241858,2,1498241858
6648,Organic Search,20170623,Chrome,desktop,FALSE,Macintosh,9.87E+17,Seattle,Americas,United States,Seattle-Tacoma WA,spectrumnet.us,Washington,Northern America,987390821892515431_1498251943,,13,,11,25000000,,,TRUE,,organic,,google,,,,,,1498251943,3,1498251943
6656,Referral,20170623,Chrome,desktop,FALSE,Macintosh,3.65E+18,Seattle,Americas,United States,Seattle-Tacoma WA,,Washington,Northern America,3654857757910532216_1498265066,,14,1,13,95970000,,,,,referral,/,mall.googleplex.com,,,,,,1498265066,1,1498265066
6663,Referral,20170623,Chrome,desktop,FALSE,Macintosh,1.16E+17,Santa Clara,Americas,United States,San Francisco-Oakland-San Jose CA,,California,Northern America,0115940065332308119_1498241851,,15,,13,109150000,,,TRUE,,referral,/,mall.googleplex.com,,,,,,1498241851,3,1498241851
6671,Referral,20170623,Chrome,desktop,FALSE,Macintosh,4.06E+18,Chicago,Americas,United States,Chicago IL,,Illinois,Northern America,4064008221273566105_1498245824,,15,,14,13590000,,,TRUE,,referral,/,mall.googleplex.com,,,,,,1498245824,3,1498245824
6695,Referral,20170623,Chrome,desktop,FALSE,Linux,7.30E+16,New York,Americas,United States,New York NY,,New York,Northern America,072965257504694282_1498238118,,18,,14,16790000,,,,,referral,/,mall.googleplex.com,,,,,,1498238118,10,1498238118
6699,Organic Search,20170623,Safari,mobile,TRUE,iOS,3.85E+17,,Americas,United States,,suddenlink.net,,Northern America,384990845055862114_1498271478,,18,,16,6990000,,,TRUE,,organic,,google,,,,,,1498271478,11,1498271478
6713,Direct,20170623,Chrome,desktop,FALSE,Macintosh,2.10E+18,San Francisco,Americas,United States,San Francisco-Oakland-San Jose CA,,California,Northern America,2099864407370022116_1498252156,,21,1,15,113520000,,,TRUE,,(none),,(direct),,,,,,1498252156,1,1498252156
6716,Paid Search,20170623,Chrome,desktop,FALSE,Windows,3.41E+18,San Diego,Americas,United States,San Diego CA,,California,Northern America,3412601168298155096_1498263251,,22,1,16,7480000,{KeyWord:Want Google Stickers?},,,google stickers,cpc,,google,Google Search,CjwKCAjw-LLKBRAdEiwADkQzOgXMG9oQCPoN-R-irZYlz61-JaZbDt5uKA6OzLZ5zTJFlOEBC0CDLBoCrfUQAvD_BwE,FALSE,1,Top,1498263251,1,1498263251
6722,Organic Search,20170623,Safari,mobile,TRUE,iOS,2.67E+18,Boston,Americas,United States,Boston MA-Manchester NH,spcsdns.net,Massachusetts,Northern America,2665204442613686910_1498232978,,23,,20,13290000,,,TRUE,,organic,,google,,,,,,1498232978,2,1498232978
6730,Referral,20170623,Chrome,desktop,FALSE,Macintosh,3.51E+18,Mountain View,Americas,United States,San Francisco-Oakland-San Jose CA,,California,Northern America,3508419666243874603_1498242081,,24,,18,300350000,,,TRUE,,referral,/,mall.googleplex.com,,,,,,1498242081,4,1498242081
6741,Display,20170623,Chrome,desktop,FALSE,Macintosh,6.42E+18,Los Angeles,Americas,United States,Los Angeles CA,,California,Northern America,6416811485882520793_1498240051,,27,,12,33980000,,,TRUE,,cpm,,google,,,,,,1498240051,2,1498240051
6742,Referral,20170623,Chrome,desktop,FALSE,Macintosh,1.22E+18,,Americas,United States,,,,Northern America,1216639212736323098_1498235295,,28,1,24,79990000,,,,,referral,/,mall.googleplex.com,,,,,,1498235295,1,1498235295
6745,Organic Search,20170623,Chrome,desktop,FALSE,Macintosh,4.69E+18,Kirkland,Americas,United States,Seattle-Tacoma WA,,Washington,Northern America,4692146566453742608_1498243020,,30,1,23,74590000,,,,,organic,,google,,,,,,1498243020,1,1498243020
6748,Referral,20170623,Chrome,desktop,FALSE,Macintosh,9.43E+18,Kirkland,Americas,United States,Seattle-Tacoma WA,comcast.net,Washington,Northern America,9429712068285188439_1498283637,,31,,24,57580000,,,TRUE,,referral,/,mall.googleplex.com,,,,,,1498283637,2,1498283637
6755,Referral,20170623,Chrome,desktop,FALSE,Macintosh,4.06E+18,Chicago,Americas,United States,Chicago IL,,Illinois,Northern America,4064008221273566105_1498248663,,33,,29,33580000,,,TRUE,,referral,/,mall.googleplex.com,,,,,,1498248663,4,1498248663
6757,Referral,20170623,Chrome,desktop,FALSE,Macintosh,4.13E+18,,Americas,United States,,verizon.net,,Northern America,4127513140005445280_1498218912,,34,,28,13590000,,,TRUE,,referral,/,mall.googleplex.com,,,,,,1498218912,4,1498218912
6761,Direct,20170623,Chrome,mobile,TRUE,Android,3.56E+18,,Americas,United States,,comcast.net,,Northern America,3560820276518060023_1498211423,,35,1,28,9980000,,,TRUE,,(none),,(direct),,,,,,1498211423,1,1498211423
6767,Referral,20170623,Chrome,desktop,FALSE,Macintosh,2.66E+18,,Americas,United States,,comcast.net,,Northern America,2658678838785413275_1498272983,,39,1,28,31490000,,,,,referral,/,mall.googleplex.com,,,,,,1498272983,1,1498272983
6770,Referral,20170623,Chrome,desktop,FALSE,Linux,7.37E+18,Mountain View,Americas,United States,San Francisco-Oakland-San Jose CA,,California,Northern America,7366648314975511623_1498253514,,40,1,35,21020000,,,,,referral,/,mall.googleplex.com,,,,,,1498253514,1,1498253514
6771,Referral,20170623,Chrome,desktop,FALSE,Macintosh,5.61E+18,,Americas,United States,,,,Northern America,5613784133853070022_1498246944,,41,,29,335310000,,,TRUE,,referral,/,mall.googleplex.com,,,,,,1498246944,4,1498246944
6775,Organic Search,20170623,Chrome,desktop,FALSE,Windows,5.82E+18,,Americas,United States,,,,Northern America,5820498420449602355_1498260264,,50,,40,10990000,,,TRUE,,organic,,google,,,,,,1498260264,2,1498260264
6777,Referral,20170623,Chrome,desktop,FALSE,Linux,9.49E+18,Mountain View,Americas,United States,San Francisco-Oakland-San Jose CA,,California,Northern America,9492321535184723478_1498240539,,55,,41,111160000,,,TRUE,,referral,/,mall.googleplex.com,,,,,,1498240539,4,1498240539
6782,Referral,20170623,Chrome,desktop,FALSE,Chrome OS,3.32E+18,New York,Americas,United States,New York NY,,New York,Northern America,3315850109243126332_1498225533,,86,1,59,173880000,,,,,referral,/,mall.googleplex.com,,,,,,1498225533,1,1498225533
8185,Organic Search,20170312,Chrome,desktop,FALSE,Windows,8.77E+18,,Americas,United States,,avagotech.com,,Northern America,8769206328217001636_1489338979,,17,,13,16990000,,,TRUE,,organic,,google,,,,,,1489338979,2,1489338979
8188,Direct,20170312,Edge,desktop,FALSE,Windows,1.25E+18,,Americas,Puerto Rico,,libertypr.net,,Caribbean,1253103077765832819_1489356106,,18,,18,19990000,,,TRUE,,(none),,(direct),,,,,,1489356106,2,1489356106
8192,Organic Search,20170312,Chrome,desktop,FALSE,Windows,6.65E+17,,Americas,United States,,,,Northern America,664683919239436389_1489365686,,20,1,18,7990000,,,,,organic,,google,,,,,,1489365686,1,1489365686
8196,Organic Search,20170312,Safari,desktop,FALSE,Macintosh,6.42E+18,,Americas,United States,,,,Northern America,6421960756925082099_1489350226,,21,,16,42970000,,,,,organic,,google,,,,,,1489350226,2,1489350226
8210,Direct,20170312,Firefox,desktop,FALSE,Windows,7.55E+18,,Americas,United States,,,,Northern America,7545575276027340424_1489367317,,24,1,23,1990000,,,TRUE,,(none),,(direct),,,,,,1489367317,1,1489367317
8223,Referral,20170312,Chrome,desktop,FALSE,Macintosh,8.15E+18,San Jose,Americas,United States,San Francisco-Oakland-San Jose CA,unknown.unknown,California,Northern America,8146644046556936641_1489377952,,30,,26,15190000,,,TRUE,,referral,/,mall.googleplex.com,,,,,,1489377952,2,1489377952
8224,Organic Search,20170312,Safari,mobile,TRUE,iOS,1.98E+18,San Francisco,Americas,United States,San Francisco-Oakland-San Jose CA,,California,Northern America,1977256117656372433_1489371345,,31,1,24,31930000,,,,,organic,,google,,,,,,1489371345,1,1489371345
8229,Referral,20170312,Chrome,desktop,FALSE,Macintosh,7.64E+17,,Americas,United States,,comcast.net,,Northern America,764274607292877218_1489347786,,33,1,27,244040000,,,,,referral,/,mall.googleplex.com,,,,,,1489347786,1,1489347786
8231,Referral,20170312,Chrome,desktop,FALSE,Macintosh,8.61E+18,,Americas,United States,,comcast.net,,Northern America,8611515155255472281_1489365472,,33,,31,17590000,,,,,referral,/,mall.googleplex.com,,,,,,1489365472,2,1489365472
8245,Referral,20170312,Chrome,desktop,FALSE,Macintosh,3.98E+18,Chicago,Americas,United States,Chicago IL,,Illinois,Northern America,3980601042365877663_1489357807,,44,1,37,139650000,,,,,referral,/,mall.googleplex.com,,,,,,1489357807,1,1489357807
8252,Organic Search,20170312,Chrome,desktop,FALSE,Windows,4.13E+18,,Americas,United States,,tctwest.net,,Northern America,4134498426819570935_1489358954,,69,,60,37960000,,,TRUE,,organic,,google,,,,,,1489358954,6,1489358954
10312,Direct,20170203,Chrome,desktop,FALSE,Macintosh,4.66E+18,,Americas,United States,,cableone.net,,Northern America,4664319107970739921_1486137196,,11,,11,16990000,,,TRUE,,(none),,(direct),,,,,,1486137196,5,1486137202
10323,Direct,20170203,Chrome,mobile,TRUE,Android,4.03E+18,,Americas,United States,,,,Northern America,4033167138991049828_1486147243,,12,1,10,18990000,,,TRUE,,(none),,(direct),,,,,,1486147243,1,1486147243
10350,Referral,20170203,Chrome,desktop,FALSE,Macintosh,3.83E+18,Mountain View,Americas,United States,San Francisco-Oakland-San Jose CA,fusionbroadband.com,California,Northern America,3831723766212483216_1486163738,,13,,13,59990000,,,,,referral,/,mall.googleplex.com,,,,,,1486163738,3,1486163738
10384,Organic Search,20170203,Chrome,desktop,FALSE,Macintosh,3.80E+18,Mountain View,Americas,United States,San Francisco-Oakland-San Jose CA,,California,Northern America,3798576854040953242_1486150295,,16,,16,179970000,,,TRUE,,organic,,google,,,,,,1486150295,6,1486150295
10396,Referral,20170203,Chrome,desktop,FALSE,Macintosh,1.03E+18,New York,Americas,United States,New York NY,,New York,Northern America,1029323150011228171_1486152691,,18,,14,86130000,,,TRUE,,referral,/,mall.googleplex.com,,,,,,1486152691,2,1486152691
10412,Referral,20170203,Chrome,desktop,FALSE,Macintosh,1.27E+18,New York,Americas,United States,New York NY,,New York,Northern America,1271739936649587420_1486155144,,20,,19,239960000,,,TRUE,,referral,/,mall.googleplex.com,,,,,,1486155144,4,1486155144
10413,Organic Search,20170203,Safari,desktop,FALSE,Macintosh,6.90E+17,,Americas,United States,,cox.net,,Northern America,689752308200679975_1486182517,,20,1,17,16990000,,,,,organic,,google,,,,,,1486182517,1,1486182517
10415,Organic Search,20170203,Chrome,desktop,FALSE,Chrome OS,9.56E+18,San Jose,Americas,United States,San Francisco-Oakland-San Jose CA,,California,Northern America,9562948220302753056_1486137202,,20,,20,55990000,,,TRUE,,organic,,google,,,,,,1486137202,2,1486137202
10439,Referral,20170203,Chrome,desktop,FALSE,Macintosh,4.26E+18,Mountain View,Americas,United States,San Francisco-Oakland-San Jose CA,,California,Northern America,4262513756531099314_1486156183,,25,,20,3980000,,,TRUE,,referral,/,mall.googleplex.com,,,,,,1486156183,2,1486156183
10441,Organic Search,20170203,Chrome,desktop,FALSE,Windows,8.71E+18,,Americas,United States,,optonline.net,,Northern America,8708692061686223002_1486151676,,26,1,24,18990000,,,,,organic,,google,,,,,,1486151676,1,1486151676
10445,Direct,20170203,Chrome,desktop,FALSE,Windows,9.23E+18,,Americas,United States,,,,Northern America,9228091811246318377_1486155118,,26,,25,305490000,,,TRUE,,(none),,(direct),,,,,,1486155118,2,1486155118
10449,Direct,20170203,Chrome,desktop,FALSE,Macintosh,8.09E+18,Chicago,Americas,United States,Chicago IL,,Illinois,Northern America,8092136662808852323_1486139748,,27,,22,536820000,,,TRUE,,(none),,(direct),,,,,,1486139748,3,1486139748
10450,Referral,20170203,Chrome,desktop,FALSE,Windows,2.84E+18,Mountain View,Americas,United States,San Francisco-Oakland-San Jose CA,,California,Northern America,2840155464434051520_1486141246,,27,,20,28780000,,,TRUE,,referral,/,mall.googleplex.com,,,,,,1486141246,10,1486141246
10455,Organic Search,20170203,Chrome,mobile,TRUE,iOS,9.01E+18,,Americas,United States,,sbcglobal.net,,Northern America,9013296840842675812_1486193195,,28,,22,66980000,,,TRUE,,organic,,google,,,,,,1486193195,3,1486193195
